epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,404079,0.392,0.62143,0.35268,0.97661,0.96643,0.9596,0.96791,0.87305,0.97854,0.92128,0.95895,0.85862,0.50668,1.09773,0.35647,1.17178,0.0002378,0.0002378,0.0002378
91,408917,0.31658,0.49174,0.31116,1.00669,0.96927,0.95593,0.96419,0.84931,0.9636,0.93939,0.96356,0.83113,0.52674,1.01277,0.38489,1.18268,0.000218,0.000218,0.000218
92,413769,0.31659,0.4441,0.29444,1.01099,0.97444,0.94949,0.96165,0.84909,0.97444,0.94949,0.96165,0.85138,0.52798,0.95232,0.37286,1.19696,0.0001982,0.0001982,0.0001982
93,418447,0.29596,0.42619,0.26718,0.99527,0.98644,0.93939,0.97029,0.8629,0.98644,0.93939,0.96638,0.85575,0.49105,0.96824,0.34513,1.16307,0.0001784,0.0001784,0.0001784
94,423092,0.29008,0.41385,0.26607,0.97408,0.96669,0.9596,0.97695,0.86632,0.96669,0.9596,0.96887,0.85936,0.49441,0.96787,0.34873,1.15122,0.0001586,0.0001586,0.0001586
95,427594,0.28023,0.4264,0.25322,0.96042,0.96569,0.94949,0.97532,0.8663,0.96569,0.94949,0.96838,0.85869,0.48823,0.99494,0.36396,1.14959,0.0001388,0.0001388,0.0001388
96,431564,0.27817,0.4272,0.24662,0.96574,0.95796,0.9596,0.97629,0.87135,0.97507,0.93939,0.96802,0.86396,0.47885,1.00323,0.36086,1.14321,0.000119,0.000119,0.000119
97,434572,0.27434,0.4202,0.25425,0.95965,0.96936,0.95884,0.9747,0.86861,0.97864,0.94949,0.96836,0.86536,0.49076,1.02152,0.35716,1.15091,9.92e-05,9.92e-05,9.92e-05
98,437596,0.26817,0.41359,0.24867,0.94796,0.96882,0.9596,0.97395,0.87288,0.97039,0.94949,0.96711,0.86644,0.46844,0.97373,0.35724,1.12778,7.94e-05,7.94e-05,7.94e-05
99,440602,0.26215,0.40668,0.24026,0.94803,0.9691,0.9596,0.97236,0.87078,0.95953,0.95799,0.9661,0.86207,0.47132,1.02789,0.35747,1.13531,5.96e-05,5.96e-05,5.96e-05
100,443621,0.24973,0.40753,0.23331,0.94737,0.96937,0.95894,0.9718,0.87014,0.97695,0.94949,0.96634,0.86246,0.46423,1.06417,0.34885,1.13483,3.98e-05,3.98e-05,3.98e-05
